timestamp,lat,lon,temp,hum,air,aforo,redes,rssi
2026-04-08 23:34:18,40.424461,-3.655616,23.34,44.76,400,AFORO BAJO,11,-46
2026-04-08 23:34:26,40.424461,-3.655616,23.37,44.87,515,AFORO BAJO,9,-50
2026-04-08 23:34:35,40.424461,-3.655616,23.36,45.04,400,AFORO BAJO,9,-49
2026-04-08 23:34:42,40.424461,-3.655616,23.34,44.96,400,AFORO BAJO,9,-29
2026-04-08 23:34:50,40.424461,-3.655616,23.31,44.94,434,AFORO BAJO,8,-27
2026-04-08 23:34:59,40.424461,-3.655616,23.31,45.0,410,AFORO BAJO,8,-49
2026-04-08 23:35:06,40.424461,-3.655616,23.35,44.85,400,AFORO BAJO,9,-27
2026-04-08 23:35:15,40.424461,-3.655616,23.32,44.71,403,AFORO BAJO,9,-52
2026-04-08 23:35:22,40.424461,-3.655616,23.35,44.62,400,AFORO BAJO,10,-45
2026-04-08 23:35:31,40.424461,-3.655616,23.34,44.5,403,AFORO BAJO,9,-37
2026-04-08 23:35:38,40.424461,-3.655616,23.34,44.41,400,AFORO BAJO,9,-36
2026-04-08 23:35:46,40.424461,-3.655616,23.36,44.49,417,AFORO BAJO,9,-45
2026-04-08 23:35:54,40.424461,-3.655616,23.41,44.56,422,AFORO BAJO,7,-47
2026-04-08 23:36:02,40.424461,-3.655616,23.43,44.58,412,AFORO BAJO,9,-46
2026-04-08 23:36:10,40.424461,-3.655616,23.45,44.6,571,AFORO BAJO,7,-34
2026-04-08 23:36:18,40.424461,-3.655616,23.47,44.81,403,AFORO BAJO,8,-44
2026-04-08 23:36:26,40.424461,-3.655616,23.51,44.76,410,AFORO BAJO,9,-46
2026-04-08 23:36:35,40.424461,-3.655616,23.52,44.91,447,AFORO BAJO,9,-26
2026-04-08 23:36:42,40.424461,-3.655616,23.59,44.95,413,AFORO BAJO,8,-51
2026-04-08 23:36:50,40.424461,-3.655616,23.71,44.85,426,AFORO BAJO,8,-36
2026-04-08 23:36:58,40.424461,-3.655616,23.73,44.92,554,AFORO BAJO,9,-44
2026-04-08 23:37:06,40.424461,-3.655616,23.71,45.17,445,AFORO BAJO,8,-34
2026-04-08 23:37:15,40.424461,-3.655616,23.72,44.95,429,AFORO BAJO,6,-39
2026-04-08 23:37:22,40.424461,-3.655616,23.79,44.79,442,AFORO BAJO,8,-36
2026-04-08 23:37:31,40.424461,-3.655616,23.83,44.73,416,AFORO BAJO,10,-42
2026-04-08 23:37:38,40.424461,-3.655616,23.84,44.5,431,AFORO BAJO,6,-31
2026-04-08 23:37:46,40.424461,-3.655616,23.9,44.25,416,AFORO BAJO,7,-31
2026-04-08 23:37:54,40.424461,-3.655616,23.94,44.0,416,AFORO BAJO,8,-38
2026-04-08 23:38:02,40.424461,-3.655616,23.96,43.79,418,AFORO BAJO,10,-41
2026-04-08 23:38:10,40.424461,-3.655616,24.03,43.66,424,AFORO BAJO,11,-44
2026-04-08 23:38:18,40.424461,-3.655616,23.99,43.55,423,AFORO BAJO,11,-44
2026-04-08 23:38:26,40.424461,-3.655616,24.02,43.59,455,AFORO BAJO,8,-42
2026-04-08 23:38:34,40.424461,-3.655616,24.03,43.59,478,AFORO BAJO,9,-48
2026-04-08 23:38:42,40.424461,-3.655616,24.04,43.84,432,AFORO BAJO,8,-41
2026-04-08 23:38:50,40.424461,-3.655616,24.06,43.81,437,AFORO BAJO,9,-45
2026-04-08 23:38:58,40.424461,-3.655616,24.1,43.86,459,AFORO BAJO,10,-30
2026-04-08 23:39:06,40.424461,-3.655616,24.14,43.94,430,AFORO BAJO,7,-32
2026-04-08 23:39:14,40.424461,-3.655616,24.21,43.76,432,AFORO BAJO,8,-42
2026-04-08 23:39:23,40.424461,-3.655616,24.26,43.59,409,AFORO BAJO,8,-32
2026-04-08 23:39:30,40.424461,-3.655616,24.2,43.46,445,AFORO BAJO,7,-46
2026-04-08 23:39:38,40.424461,-3.655616,24.21,43.38,436,AFORO BAJO,10,-38
2026-04-08 23:39:46,40.424461,-3.655616,24.16,43.36,412,AFORO BAJO,10,-39
2026-04-08 23:39:55,40.424461,-3.655616,24.21,43.4,416,AFORO BAJO,10,-35
2026-04-08 23:40:03,40.424461,-3.655616,24.16,43.26,402,AFORO BAJO,10,-37
2026-04-08 23:40:10,40.424461,-3.655616,24.15,43.12,408,AFORO BAJO,7,-36
2026-04-08 23:40:18,40.424461,-3.655616,24.24,43.02,408,AFORO BAJO,7,-37
2026-04-08 23:40:26,40.424461,-3.655616,24.19,42.85,409,AFORO BAJO,9,-25
2026-04-08 23:40:34,40.424461,-3.655616,24.19,42.82,448,AFORO BAJO,9,-45
2026-04-08 23:40:42,40.424461,-3.655616,24.19,43.48,435,AFORO BAJO,9,-49
2026-04-08 23:40:44,40.424461,-3.655616,24.19,43.48,435,AFORO BAJO,9,-49
2026-04-08 23:40:50,40.424461,-3.655616,24.16,43.66,670,AFORO BAJO,9,-45
2026-04-08 23:40:58,40.424461,-3.655616,24.16,44.53,465,AFORO BAJO,9,-48
2026-04-08 23:41:06,40.424461,-3.655616,24.13,44.78,778,MEDIA GENTE,10,-44
2026-04-08 23:41:14,40.424461,-3.655616,24.15,45.09,492,AFORO BAJO,9,-41
2026-04-08 23:41:22,40.424461,-3.655616,24.08,45.6,739,MEDIA GENTE,10,-42
2026-04-08 23:41:30,40.424461,-3.655616,24.06,46.24,461,AFORO BAJO,10,-48
2026-04-08 23:41:38,40.424461,-3.655616,24.02,45.94,400,AFORO BAJO,10,-50
2026-04-08 23:41:46,40.424461,-3.655616,23.96,45.23,400,AFORO BAJO,8,-48
2026-04-08 23:41:54,40.424461,-3.655616,23.91,44.62,400,AFORO BAJO,9,-44
2026-04-08 23:42:02,40.424461,-3.655616,23.96,44.26,400,AFORO BAJO,10,-53
2026-04-08 23:42:10,40.424461,-3.655616,23.98,44.43,400,AFORO BAJO,10,-48
2026-04-08 23:42:18,40.424461,-3.655616,23.98,44.69,544,AFORO BAJO,9,-48
2026-04-08 23:42:26,40.424461,-3.655616,24.01,45.06,536,AFORO BAJO,10,-50
2026-04-08 23:42:35,40.424461,-3.655616,24.01,45.55,460,AFORO BAJO,10,-52
2026-04-08 23:42:43,40.424461,-3.655616,23.94,45.82,435,AFORO BAJO,8,-34
2026-04-08 23:42:50,40.424461,-3.655616,23.92,45.34,400,AFORO BAJO,10,-45
2026-04-08 23:42:58,40.424461,-3.655616,23.94,44.84,400,AFORO BAJO,9,-45
2026-04-08 23:43:06,40.424461,-3.655616,23.92,44.42,400,AFORO BAJO,8,-53
2026-04-08 23:43:15,40.424461,-3.655616,24.0,44.49,400,AFORO BAJO,9,-37
2026-04-08 23:43:22,40.424461,-3.655616,23.99,44.32,400,AFORO BAJO,11,-44
2026-04-08 23:43:30,40.424461,-3.655616,24.03,44.37,400,AFORO BAJO,7,-38
2026-04-08 23:43:39,40.424461,-3.655616,24.1,44.85,506,AFORO BAJO,8,-39
2026-04-08 23:43:46,40.424461,-3.655616,24.13,45.09,582,AFORO BAJO,5,-41
2026-04-08 23:43:54,40.424461,-3.655616,24.16,45.69,510,AFORO BAJO,6,-36
2026-04-08 23:44:02,40.424461,-3.655616,24.23,45.43,427,AFORO BAJO,7,-43
2026-04-08 23:44:10,40.424461,-3.655616,24.25,45.28,477,AFORO BAJO,6,-41
2026-04-08 23:44:18,40.424461,-3.655616,24.26,45.13,564,AFORO BAJO,7,-39
2026-04-08 23:44:26,40.424461,-3.655616,24.3,44.96,400,AFORO BAJO,7,-40
2026-04-08 23:44:34,40.424461,-3.655616,24.3,44.54,411,AFORO BAJO,10,-33
2026-04-08 23:44:42,40.424461,-3.655616,24.24,44.1,400,AFORO BAJO,10,-47
2026-04-08 23:44:50,40.424461,-3.655616,24.19,44.08,400,AFORO BAJO,9,-48
2026-04-08 23:44:58,40.424461,-3.655616,24.16,44.19,423,AFORO BAJO,10,-48
2026-04-08 23:45:06,40.424461,-3.655616,24.13,44.21,406,AFORO BAJO,7,-51
2026-04-08 23:45:14,40.424461,-3.655616,24.16,44.43,584,AFORO BAJO,8,-43
2026-04-08 23:45:22,40.424461,-3.655616,24.14,45.35,407,AFORO BAJO,6,-46
2026-04-08 23:45:30,40.424461,-3.655616,24.14,45.1,400,AFORO BAJO,7,-51
2026-04-08 23:45:38,40.424461,-3.655616,24.16,44.68,400,AFORO BAJO,6,-44
2026-04-08 23:45:46,40.424461,-3.655616,24.13,44.13,400,AFORO BAJO,8,-47
2026-04-08 23:45:54,40.424461,-3.655616,24.11,43.67,400,AFORO BAJO,8,-46
2026-04-08 23:46:02,40.424461,-3.655616,24.11,43.34,400,AFORO BAJO,6,-49
2026-04-08 23:46:10,40.424461,-3.655616,24.03,43.38,400,AFORO BAJO,9,-49
2026-04-08 23:46:18,40.424461,-3.655616,24.04,43.53,539,AFORO BAJO,8,-41
2026-04-08 23:46:26,40.424461,-3.655616,24.04,44.22,465,AFORO BAJO,9,-46
2026-04-08 23:46:34,40.424461,-3.655616,24.02,45.07,527,AFORO BAJO,8,-45
2026-04-08 23:46:42,40.424461,-3.655616,24.01,45.08,400,AFORO BAJO,7,-49
2026-04-08 23:46:51,40.424461,-3.655616,24.06,44.67,400,AFORO BAJO,8,-46
2026-04-08 23:46:58,40.424461,-3.655616,24.14,44.47,400,AFORO BAJO,10,-50
2026-04-08 23:47:07,40.424461,-3.655616,24.24,45.07,400,AFORO BAJO,9,-50
2026-04-08 23:47:14,40.424461,-3.655616,24.3,45.14,408,AFORO BAJO,8,-49
2026-04-08 23:47:22,40.424461,-3.655616,24.36,45.01,550,AFORO BAJO,9,-48
2026-04-08 23:47:30,40.424461,-3.655616,24.35,44.94,404,AFORO BAJO,10,-48
2026-04-08 23:47:38,40.424461,-3.655616,24.4,44.43,446,AFORO BAJO,10,-52
2026-04-08 23:47:46,40.424461,-3.655616,24.31,44.02,545,AFORO BAJO,10,-45
2026-04-08 23:47:54,40.424461,-3.655616,24.34,43.98,400,AFORO BAJO,9,-46
2026-04-08 23:48:02,40.424461,-3.655616,24.33,44.27,437,AFORO BAJO,7,-52
2026-04-08 23:48:10,40.424461,-3.655616,24.32,44.17,400,AFORO BAJO,8,-46
2026-04-08 23:48:18,40.424461,-3.655616,24.25,44.35,503,AFORO BAJO,9,-48
2026-04-08 23:48:27,40.424461,-3.655616,24.24,45.04,419,AFORO BAJO,10,-47
2026-04-08 23:48:34,40.424461,-3.655616,24.19,44.75,400,AFORO BAJO,9,-48
2026-04-08 23:48:42,40.424461,-3.655616,24.19,44.7,400,AFORO BAJO,9,-51
2026-04-08 23:48:51,40.424461,-3.655616,24.28,44.47,400,AFORO BAJO,8,-39
2026-04-08 23:48:59,40.424461,-3.655616,24.31,44.04,400,AFORO BAJO,9,-47
2026-04-08 23:49:06,40.424461,-3.655616,24.36,44.14,400,AFORO BAJO,8,-50
2026-04-08 23:49:14,40.424461,-3.655616,24.46,44.17,400,AFORO BAJO,8,-44
2026-04-08 23:49:22,40.424461,-3.655616,24.44,44.38,400,AFORO BAJO,9,-43
2026-04-08 23:49:30,40.424461,-3.655616,24.55,44.59,400,AFORO BAJO,8,-50
2026-04-08 23:49:38,40.424461,-3.655616,24.6,44.76,400,AFORO BAJO,11,-34
2026-04-08 23:49:46,40.424461,-3.655616,24.59,44.26,400,AFORO BAJO,8,-40
2026-04-08 23:49:54,40.424461,-3.655616,24.5,43.64,400,AFORO BAJO,11,-52
2026-04-08 23:50:02,40.424461,-3.655616,24.46,43.27,400,AFORO BAJO,10,-43
2026-04-08 23:50:10,40.424461,-3.655616,24.43,43.03,400,AFORO BAJO,11,-46
2026-04-08 23:50:18,40.424461,-3.655616,24.4,42.89,400,AFORO BAJO,8,-50
2026-04-08 23:50:26,40.424461,-3.655616,24.47,42.85,400,AFORO BAJO,7,-45
2026-04-08 23:50:34,40.424461,-3.655616,24.43,42.85,400,AFORO BAJO,7,-48
2026-04-08 23:50:42,40.424461,-3.655616,24.44,42.81,400,AFORO BAJO,9,-45
2026-04-08 23:50:50,40.424461,-3.655616,24.4,42.79,400,AFORO BAJO,10,-47
2026-04-08 23:50:58,40.424461,-3.655616,24.34,42.6,400,AFORO BAJO,8,-49
2026-04-08 23:51:06,40.424461,-3.655616,24.35,42.43,400,AFORO BAJO,9,-47
2026-04-08 23:51:14,40.424461,-3.655616,24.33,42.39,400,AFORO BAJO,10,-50
2026-04-08 23:51:22,40.424461,-3.655616,24.31,42.38,400,AFORO BAJO,9,-43
2026-04-08 23:51:30,40.424461,-3.655616,24.28,42.32,400,AFORO BAJO,11,-32
2026-04-08 23:51:38,40.424461,-3.655616,24.26,42.37,400,AFORO BAJO,9,-41
2026-04-08 23:51:46,40.424461,-3.655616,24.38,42.98,400,AFORO BAJO,7,-47
2026-04-08 23:51:54,40.424461,-3.655616,24.41,43.54,400,AFORO BAJO,7,-33
2026-06-03 16:57:55,40.424496,-3.655642,30.0,41.94,403,AFORO BAJO,6,-56
2026-06-03 16:58:03,40.424496,-3.655642,29.98,42.01,415,AFORO BAJO,4,-58
2026-06-03 16:58:11,40.424496,-3.655642,30.04,42.88,400,AFORO BAJO,7,-52
2026-06-03 16:58:19,40.424496,-3.655642,30.03,42.61,400,AFORO BAJO,7,-53
2026-06-03 16:58:27,40.424496,-3.655642,30.05,42.37,401,AFORO BAJO,6,-52
2026-06-03 16:58:35,40.424496,-3.655642,30.03,42.25,406,AFORO BAJO,6,-52
2026-06-03 16:58:43,40.424496,-3.655642,30.03,42.29,410,AFORO BAJO,7,-52
2026-06-03 16:58:51,40.424496,-3.655642,30.02,42.13,404,AFORO BAJO,6,-52
2026-06-03 16:58:59,40.424496,-3.655642,30.04,42.03,403,AFORO BAJO,6,-52
2026-06-03 16:59:07,40.424496,-3.655642,30.03,42.14,422,AFORO BAJO,6,-52
2026-06-03 16:59:15,40.424496,-3.655642,30.03,42.22,421,AFORO BAJO,6,-52
2026-06-03 16:59:23,40.424496,-3.655642,30.03,42.13,411,AFORO BAJO,6,-52
2026-06-03 16:59:31,40.424496,-3.655642,30.03,42.2,419,AFORO BAJO,7,-52
